season,week,player_id,player_name,team,role_family,category,situation_type,original_headline,revised_headline,original_explanation,revised_explanation,selection_unchanged,category_unchanged,audit_copy_removed
2025,5,00-0037740,Garrett Wilson,NYJ,wr_target_share,Opportunity Lost,individual,Target share fell from 37.6% to 15.8%.,Target share fell from 37.6% to 15.8%.,Selected-week share was 21.9 points below the prior 4-game baseline.,Selected-week share was 21.9 points below the prior 4-game baseline.,True,True,True
2025,5,00-0035261,Tony Pollard,TEN,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 91.8% to 73.9%.,RB opportunity share fell from 91.8% to 73.9%.,Selected-week share was 17.9 points below the prior 4-game baseline.,Selected-week share was 17.9 points below the prior 4-game baseline.,True,True,True
2025,5,00-0040242,Jacory Croskey-Merritt,WAS,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Jacory Croskey-Merritt gained RB opportunity share; Chris Rodriguez Jr. lost share.,WAS shifted more backfield work toward Jacory Croskey-Merritt.,"Normal-game counts were Jacory Croskey-Merritt 16 of 24, Chris Rodriguez Jr. 5 of 24.",Jacory Croskey-Merritt's share increased while Chris Rodriguez Jr. handled less of the same team opportunity.,True,True,True
2025,5,00-0039410,Ryan Flournoy,DAL,wr_target_share,Opportunity Gained,individual,Handled 8 of 24 team targets.,Handled 8 of 24 team targets.,Selected-week share was 31.4 points above the prior 3-game baseline.,Selected-week share was 31.4 points above the prior 3-game baseline.,True,True,True
2025,5,00-0035685,David Montgomery,DET,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,David Montgomery gained RB opportunity share; Jahmyr Gibbs lost share.,DET shifted more backfield work toward David Montgomery.,"Normal-game counts were David Montgomery 19 of 32, Jahmyr Gibbs 13 of 32.",David Montgomery's share increased while Jahmyr Gibbs handled less of the same team opportunity.,True,True,True
2025,5,00-0039040,De'Von Achane,MIA,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 16 yards while handling 10 of 14 team carries; yards per carry was 1.6.,Produced 16 yards while handling 10 of 14 team carries; yards per carry was 1.6.,Yards per carry was 1.6 in the selected week.,Yards per carry was 1.6 in the selected week.,True,True,True
2025,5,00-0036875,Rhamondre Stevenson,NE,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 27 yards while handling 9 of 25 team RB opportunities; yards per touch was 3.0.,Produced 27 yards while handling 9 of 25 team RB opportunities; yards per touch was 3.0.,Yards per touch was 3.0 in the selected week.,Yards per touch was 3.0 in the selected week.,True,True,True
2025,5,00-0033280,Christian McCaffrey,SF,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 57 yards while handling 22 of 33 team carries; yards per carry was 2.6.,Produced 57 yards while handling 22 of 33 team carries; yards per carry was 2.6.,Yards per carry was 2.6 in the selected week.,Yards per carry was 2.6 in the selected week.,True,True,True
2025,8,00-0039875,Ray Davis,BUF,rb_opportunity_share,Box Score Overstated the Role,individual,6 of 10 opportunities occurred outside normal-game context.,6 of 10 opportunities occurred outside normal-game context.,All-play share was 12.9 points above normal-game share.,All-play share was 12.9 points above normal-game share.,True,True,True
2025,8,00-0033955,Jeremy McNichols,WAS,rb_opportunity_share,Box Score Overstated the Role,individual,3 of 7 opportunities occurred outside normal-game context.,3 of 7 opportunities occurred outside normal-game context.,All-play share was 10.3 points above normal-game share.,All-play share was 10.3 points above normal-game share.,True,True,True
2025,8,00-0040644,Trevor Etienne,CAR,rb_opportunity_share,Box Score Overstated the Role,individual,4 of 4 opportunities occurred outside normal-game context.,4 of 4 opportunities occurred outside normal-game context.,All-play share was 16.0 points above normal-game share.,All-play share was 16.0 points above normal-game share.,True,True,True
2025,8,00-0036139,Rico Dowdle,CAR,rb_carry_share,Opportunity Lost,individual,Carry share fell from 67.0% to 41.2%.,Carry share fell from 67.0% to 41.2%.,Selected-week share was 25.8 points below the prior 4-game baseline.,Selected-week share was 25.8 points below the prior 4-game baseline.,True,True,True
2025,8,00-0036997,Javonte Williams,DAL,rb_carry_share,Opportunity Lost,individual,Carry share fell from 72.3% to 48.0%.,Carry share fell from 72.3% to 48.0%.,Selected-week share was 24.3 points below the prior 4-game baseline.,Selected-week share was 24.3 points below the prior 4-game baseline.,True,True,True
2025,8,00-0034975,Justice Hill,BAL,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 27.2% to 3.7%.,RB opportunity share fell from 27.2% to 3.7%.,Selected-week share was 23.5 points below the prior 4-game baseline.,Selected-week share was 23.5 points below the prior 4-game baseline.,True,True,True
2025,8,00-0038797,Emanuel Wilson,GB,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Emanuel Wilson gained RB opportunity share; Josh Jacobs lost share.,GB shifted more backfield work toward Emanuel Wilson.,"Normal-game counts were Emanuel Wilson 15 of 31, Josh Jacobs 16 of 31.",Emanuel Wilson's share increased while Josh Jacobs handled less of the same team opportunity.,True,True,True
2025,8,00-0036912,DeVonta Smith,PHI,wr_target_share,Opportunity Gained,individual,Handled 9 of 18 team targets.,Handled 9 of 18 team targets.,Selected-week share was 25.2 points above the prior 4-game baseline.,Selected-week share was 25.2 points above the prior 4-game baseline.,True,True,True
2025,8,00-0033293,Aaron Jones,MIN,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,"Aaron Jones gained RB opportunity share; Jordan Mason, Zavier Scott lost share.",MIN shifted more backfield work toward Aaron Jones.,"Normal-game counts were Aaron Jones 9 of 14, Jordan Mason 5 of 14, Zavier Scott 0 of 14.",Aaron Jones's share increased while Jordan Mason handled less of the same team opportunity.,True,True,True
2025,8,00-0036875,Rhamondre Stevenson,NE,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 34 yards while handling 11 of 23 team carries; yards per carry was 2.4.,Produced 34 yards while handling 11 of 23 team carries; yards per carry was 2.4.,Yards per carry was 2.4 in the selected week.,Yards per carry was 2.4 in the selected week.,True,True,True
2025,8,00-0035719,Deebo Samuel Sr.,WAS,wr_target_share,"Strong Opportunity, Weak Production",individual,Produced 11 yards while handling 6 of 24 team targets; receiving yards per target was 1.8.,Produced 11 yards while handling 6 of 24 team targets; receiving yards per target was 1.8.,Receiving yards per target was 1.8 in the selected week.,Receiving yards per target was 1.8 in the selected week.,True,True,True
2025,11,00-0040238,LeQuint Allen Jr.,JAX,rb_carry_share,Box Score Overstated the Role,individual,8 of 8 opportunities occurred outside normal-game context.,8 of 8 opportunities occurred outside normal-game context.,All-play share was 17.0 points above normal-game share.,All-play share was 17.0 points above normal-game share.,True,True,True
2025,11,00-0039391,Kimani Vidal,LAC,rb_carry_share,Opportunity Lost,individual,Carry share fell from 60.4% to 41.7%.,Carry share fell from 60.4% to 41.7%.,Selected-week share was 18.7 points below the prior 4-game baseline.,Selected-week share was 18.7 points below the prior 4-game baseline.,True,True,True
2025,11,00-0038543,Jaxon Smith-Njigba,SEA,wr_target_share,Opportunity Lost,individual,Target share fell from 48.1% to 28.6%.,Target share fell from 48.1% to 28.6%.,Selected-week share was 19.5 points below the prior 4-game baseline.,Selected-week share was 19.5 points below the prior 4-game baseline.,True,True,True
2025,11,00-0036970,Kyle Pitts,ATL,te_target_share,Opportunity Lost,individual,Target share fell from 25.0% to 7.4%.,Target share fell from 25.0% to 7.4%.,Selected-week share was 17.6 points below the prior 4-game baseline.,Selected-week share was 17.6 points below the prior 4-game baseline.,True,True,True
2025,11,00-0040583,Woody Marks,HOU,rb_carry_share,Opportunity Gained,reciprocal_transfer,Woody Marks gained Carry share; Nick Chubb lost share.,HOU shifted more carries toward Woody Marks.,"Normal-game counts were Woody Marks 18 of 23, Nick Chubb 3 of 23.",Woody Marks's share increased while Nick Chubb handled less of the same team opportunity.,True,True,True
2025,11,00-0035676,A.J. Brown,PHI,wr_target_share,Opportunity Gained,reciprocal_transfer,A.J. Brown gained Target share; DeVonta Smith lost share.,A.J. Brown gained target ownership as DeVonta Smith handled a smaller share.,"Normal-game counts were A.J. Brown 11 of 27, DeVonta Smith 5 of 27.",A.J. Brown's share increased while DeVonta Smith handled less of the same team opportunity.,True,True,True
2025,11,00-0038611,Chris Rodriguez Jr.,WAS,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Chris Rodriguez Jr. gained RB opportunity share; Jacory Croskey-Merritt lost share.,WAS shifted more backfield work toward Chris Rodriguez Jr..,"Normal-game counts were Chris Rodriguez Jr. 16 of 32, Jacory Croskey-Merritt 10 of 32.",Chris Rodriguez Jr.'s share increased while Jacory Croskey-Merritt handled less of the same team opportunity.,True,True,True
2025,11,00-0040236,Kyle Monangai,CHI,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 37 yards while handling 13 of 36 team RB opportunities; yards per touch was 2.8.,Produced 37 yards while handling 13 of 36 team RB opportunities; yards per touch was 2.8.,Yards per touch was 2.8 in the selected week.,Yards per touch was 2.8 in the selected week.,True,True,True
2025,11,00-0036900,Ja'Marr Chase,CIN,wr_target_share,"Strong Opportunity, Weak Production",individual,Produced 30 yards while handling 8 of 31 team targets; receiving yards per target was 3.0.,Produced 30 yards while handling 8 of 31 team targets; receiving yards per target was 3.0.,Receiving yards per target was 3.0 in the selected week.,Receiving yards per target was 3.0 in the selected week.,True,True,True
2025,11,00-0036139,Rico Dowdle,CAR,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 45 yards while handling 15 of 20 team carries; yards per carry was 2.4.,Produced 45 yards while handling 15 of 20 team carries; yards per carry was 2.4.,Yards per carry was 2.4 in the selected week.,Yards per carry was 2.4 in the selected week.,True,True,True
2025,14,00-0039165,Zach Charbonnet,SEA,rb_carry_share,Box Score Overstated the Role,individual,4 of 7 opportunities occurred outside normal-game context.,4 of 7 opportunities occurred outside normal-game context.,All-play share was 10.4 points above normal-game share.,All-play share was 10.4 points above normal-game share.,True,True,True
2025,14,00-0038994,Jordan Addison,MIN,wr_target_share,Box Score Overstated the Role,individual,4 of 7 opportunities occurred outside normal-game context.,4 of 7 opportunities occurred outside normal-game context.,All-play share was 10.4 points above normal-game share.,All-play share was 10.4 points above normal-game share.,True,True,True
2025,14,00-0038440,Zavier Scott,MIN,rb_carry_share,Box Score Overstated the Role,individual,3 of 3 opportunities occurred outside normal-game context.,3 of 3 opportunities occurred outside normal-game context.,All-play share was 10.0 points above normal-game share.,All-play share was 10.0 points above normal-game share.,True,True,True
2025,14,00-0040666,Omarion Hampton,LAC,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 72.4% to 43.3%.,RB opportunity share fell from 72.4% to 43.3%.,Selected-week share was 29.1 points below the prior 4-game baseline.,Selected-week share was 29.1 points below the prior 4-game baseline.,True,True,True
2025,14,00-0030061,Zach Ertz,WAS,te_target_share,Opportunity Lost,individual,Target share fell from 27.2% to 5.6%.,Target share fell from 27.2% to 5.6%.,Selected-week share was 21.6 points below the prior 4-game baseline.,Selected-week share was 21.6 points below the prior 4-game baseline.,True,True,True
2025,14,00-0039361,Bucky Irving,TB,rb_carry_share,Opportunity Lost,individual,Carry share fell from 66.1% to 38.5%.,Carry share fell from 66.1% to 38.5%.,Selected-week share was 27.6 points below the prior 4-game baseline.,Selected-week share was 27.6 points below the prior 4-game baseline.,True,True,True
2025,14,00-0039874,Jaylen Wright,MIA,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Jaylen Wright gained RB opportunity share; De'Von Achane lost share.,MIA shifted more backfield work toward Jaylen Wright.,"Normal-game counts were Jaylen Wright 25 of 35, De'Von Achane 8 of 35.",Jaylen Wright's share increased while De'Von Achane handled less of the same team opportunity.,True,True,True
2025,14,00-0039410,Ryan Flournoy,DAL,wr_target_share,Opportunity Gained,individual,Handled 13 of 47 team targets.,Handled 13 of 47 team targets.,Selected-week share was 23.8 points above the prior 4-game baseline.,Selected-week share was 23.8 points above the prior 4-game baseline.,True,True,True
2025,14,00-0040583,Woody Marks,HOU,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Woody Marks gained RB opportunity share; Nick Chubb lost share.,HOU shifted more backfield work toward Woody Marks.,"Normal-game counts were Woody Marks 29 of 31, Nick Chubb 1 of 31.",Woody Marks's share increased while Nick Chubb handled less of the same team opportunity.,True,True,True
2025,14,00-0038134,Kenneth Walker III,SEA,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 28 yards while handling 13 of 18 team RB opportunities; yards per touch was 2.5.,Produced 28 yards while handling 13 of 18 team RB opportunities; yards per touch was 2.5.,Yards per touch was 2.5 in the selected week.,Yards per touch was 2.5 in the selected week.,True,True,True
2025,14,00-0040705,Chimere Dike,TEN,wr_target_share,"Strong Opportunity, Weak Production",individual,Produced 24 yards while handling 8 of 25 team targets; receiving yards per target was 3.0.,Produced 24 yards while handling 8 of 25 team targets; receiving yards per target was 3.0.,Receiving yards per target was 3.0 in the selected week.,Receiving yards per target was 3.0 in the selected week.,True,True,True
2025,14,00-0038597,Chase Brown,CIN,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 35 yards while handling 16 of 23 team RB opportunities; yards per touch was 2.3.,Produced 35 yards while handling 16 of 23 team RB opportunities; yards per touch was 2.3.,Yards per touch was 2.3 in the selected week.,Yards per touch was 2.3 in the selected week.,True,True,True
2025,17,00-0038797,Emanuel Wilson,GB,rb_carry_share,Box Score Overstated the Role,individual,2 of 3 opportunities occurred outside normal-game context.,2 of 3 opportunities occurred outside normal-game context.,All-play share was 12.3 points above normal-game share.,All-play share was 12.3 points above normal-game share.,True,True,True
2025,17,00-0038705,Emari Demercado,ARI,rb_carry_share,Box Score Overstated the Role,individual,3 of 5 opportunities occurred outside normal-game context.,3 of 5 opportunities occurred outside normal-game context.,All-play share was 13.5 points above normal-game share.,All-play share was 13.5 points above normal-game share.,True,True,True
2025,17,00-0035628,D'Ernest Johnson,NE,rb_opportunity_share,Box Score Overstated the Role,individual,4 of 4 opportunities occurred outside normal-game context.,4 of 4 opportunities occurred outside normal-game context.,All-play share was 11.1 points above normal-game share.,All-play share was 11.1 points above normal-game share.,True,True,True
2025,17,00-0039405,Jawhar Jordan,HOU,rb_opportunity_share,Opportunity Lost,individual,RB opportunity share fell from 58.7% to 26.7%.,RB opportunity share fell from 58.7% to 26.7%.,Selected-week share was 32.1 points below the prior 2-game baseline.,Selected-week share was 32.1 points below the prior 2-game baseline.,True,True,True
2025,17,00-0036613,Jaylen Waddle,MIA,wr_target_share,Opportunity Lost,individual,Target share fell from 31.5% to 4.5%.,Target share fell from 31.5% to 4.5%.,Selected-week share was 27.0 points below the prior 4-game baseline.,Selected-week share was 27.0 points below the prior 4-game baseline.,True,True,True
2025,17,00-0037238,Drake London,ATL,wr_target_share,Opportunity Lost,individual,Target share fell from 33.1% to 10.0%.,Target share fell from 33.1% to 10.0%.,Selected-week share was 23.1 points below the prior 4-game baseline.,Selected-week share was 23.1 points below the prior 4-game baseline.,True,True,True
2025,17,00-0037563,Malik Davis,DAL,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Malik Davis gained RB opportunity share; Javonte Williams lost share.,DAL shifted more backfield work toward Malik Davis.,"Normal-game counts were Malik Davis 22 of 45, Javonte Williams 15 of 45.",Malik Davis's share increased while Javonte Williams handled less of the same team opportunity.,True,True,True
2025,17,00-0036963,Amon-Ra St. Brown,DET,wr_target_share,Opportunity Gained,reciprocal_transfer,Amon-Ra St. Brown gained Target share; Jameson Williams lost share.,Amon-Ra St. Brown gained target ownership as Jameson Williams handled a smaller share.,"Normal-game counts were Amon-Ra St. Brown 13 of 29, Jameson Williams 3 of 29.",Amon-Ra St. Brown's share increased while Jameson Williams handled less of the same team opportunity.,True,True,True
2025,17,00-0038597,Chase Brown,CIN,rb_carry_share,Opportunity Gained,reciprocal_transfer,Chase Brown gained Carry share; Samaje Perine lost share.,CIN shifted more carries toward Chase Brown.,"Normal-game counts were Chase Brown 20 of 26, Samaje Perine 3 of 26.",Chase Brown's share increased while Samaje Perine handled less of the same team opportunity.,True,True,True
2025,17,00-0033293,Aaron Jones,MIN,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 63 yards while handling 22 of 29 team RB opportunities; yards per touch was 3.0.,Produced 63 yards while handling 22 of 29 team RB opportunities; yards per touch was 3.0.,Yards per touch was 3.0 in the selected week.,Yards per touch was 3.0 in the selected week.,True,True,True
2025,17,00-0034351,Dallas Goedert,PHI,te_target_share,"Strong Opportunity, Weak Production",individual,Produced 8 yards while handling 6 of 22 team targets; receiving yards per target was 1.3.,Produced 8 yards while handling 6 of 22 team targets; receiving yards per target was 1.3.,Receiving yards per target was 1.3 in the selected week.,Receiving yards per target was 1.3 in the selected week.,True,True,True
2025,17,00-0035685,David Montgomery,DET,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 25 yards while handling 10 of 28 team carries; yards per carry was 2.5.,Produced 25 yards while handling 10 of 28 team carries; yards per carry was 2.5.,Yards per carry was 2.5 in the selected week.,Yards per carry was 2.5 in the selected week.,True,True,True
2025,18,00-0040719,Bhayshul Tuten,JAX,rb_opportunity_share,Box Score Overstated the Role,individual,4 of 5 opportunities occurred outside normal-game context.,4 of 5 opportunities occurred outside normal-game context.,All-play share was 10.7 points above normal-game share.,All-play share was 10.7 points above normal-game share.,True,True,True
2025,18,00-0035628,D'Ernest Johnson,NE,rb_opportunity_share,Box Score Overstated the Role,individual,5 of 5 opportunities occurred outside normal-game context.,5 of 5 opportunities occurred outside normal-game context.,All-play share was 18.5 points above normal-game share.,All-play share was 18.5 points above normal-game share.,True,True,True
2025,18,00-0035261,Tony Pollard,TEN,rb_carry_share,Box Score Overstated the Role,individual,8 of 14 opportunities occurred outside normal-game context.,8 of 14 opportunities occurred outside normal-game context.,All-play share was 13.7 points above normal-game share.,All-play share was 13.7 points above normal-game share.,True,True,True
2025,18,00-0036358,CeeDee Lamb,DAL,wr_target_share,Opportunity Lost,individual,Target share fell from 25.4% to 5.0%.,Target share fell from 25.4% to 5.0%.,Selected-week share was 20.4 points below the prior 4-game baseline.,Selected-week share was 20.4 points below the prior 4-game baseline.,True,True,True
2025,18,00-0031408,Mike Evans,TB,wr_target_share,Opportunity Lost,individual,Target share fell from 28.7% to 9.1%.,Target share fell from 28.7% to 9.1%.,Selected-week share was 19.6 points below the prior 4-game baseline.,Selected-week share was 19.6 points below the prior 4-game baseline.,True,True,True
2025,18,00-0034348,Courtland Sutton,DEN,wr_target_share,Opportunity Lost,individual,Target share fell from 27.2% to 8.7%.,Target share fell from 27.2% to 8.7%.,Selected-week share was 18.5 points below the prior 4-game baseline.,Selected-week share was 18.5 points below the prior 4-game baseline.,True,True,True
2025,18,00-0039875,Ray Davis,BUF,rb_carry_share,Opportunity Gained,reciprocal_transfer,Ray Davis gained Carry share; James Cook lost share.,BUF shifted more carries toward Ray Davis.,"Normal-game counts were Ray Davis 12 of 21, James Cook 2 of 21.",Ray Davis's share increased while James Cook handled less of the same team opportunity.,True,True,True
2025,18,00-0038129,Cade Otton,TB,te_target_share,Opportunity Gained,individual,Handled 9 of 22 team targets.,Handled 9 of 22 team targets.,Selected-week share was 31.2 points above the prior 4-game baseline.,Selected-week share was 31.2 points above the prior 4-game baseline.,True,True,True
2025,18,00-0036755,Jaret Patterson,LAC,rb_opportunity_share,Opportunity Gained,reciprocal_transfer,Jaret Patterson gained RB opportunity share; Kimani Vidal lost share.,LAC shifted more backfield work toward Jaret Patterson.,"Normal-game counts were Jaret Patterson 12 of 17, Kimani Vidal 4 of 17.",Jaret Patterson's share increased while Kimani Vidal handled less of the same team opportunity.,True,True,True
2025,18,00-0040242,Jacory Croskey-Merritt,WAS,rb_carry_share,"Strong Opportunity, Weak Production",individual,Produced 29 yards while handling 13 of 39 team carries; yards per carry was 2.2.,Produced 29 yards while handling 13 of 39 team carries; yards per carry was 2.2.,Yards per carry was 2.2 in the selected week.,Yards per carry was 2.2 in the selected week.,True,True,True
2025,18,00-0036407,Jerry Jeudy,CLE,wr_target_share,"Strong Opportunity, Weak Production",individual,Produced 17 yards while handling 6 of 21 team targets; receiving yards per target was 2.8.,Produced 17 yards while handling 6 of 21 team targets; receiving yards per target was 2.8.,Receiving yards per target was 2.8 in the selected week.,Receiving yards per target was 2.8 in the selected week.,True,True,True
2025,18,00-0040730,RJ Harvey,DEN,rb_opportunity_share,"Strong Opportunity, Weak Production",individual,Produced 33 yards while handling 19 of 31 team RB opportunities; yards per touch was 2.1.,Produced 33 yards while handling 19 of 31 team RB opportunities; yards per touch was 2.1.,Yards per touch was 2.1 in the selected week.,Yards per touch was 2.1 in the selected week.,True,True,True
