season,week,category,player_id,player_name,team,position,role_family,role_family_label,headline,current_raw,current_denominator,current_share,baseline_raw,baseline_denominator,baseline_share,share_change,all_play_raw,all_play_denominator,all_play_share,outside_normal_opportunities,all_play_normal_gap,production_yards,yards_per_opportunity,useful_contexts,context_summary,baseline_games,category_reason,secondary_categories,suspected_partial_game,player_href,team_href,game_href,explanation
2025,8,Box Score Overstated the Role,00-0039875,Ray Davis,BUF,RB,rb_opportunity_share,RB opportunity share,6 of 10 opportunities occurred outside normal-game context.,4,23,0.1739130434782608,6,98,0.061224489795918366,0.11268855368234244,10,33,0.303030303030303,6,0.12911725955204217,16.0,4.0,3,"early downs, inside five, red zone",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role,False,/players?player=00-0039875&season=2025&family=rb_opportunity_share&week=8,/teams?team=BUF&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_BUF_CAR,All-play share was 12.9 points above normal-game share.
2025,8,Box Score Overstated the Role,00-0040162,Dylan Sampson,CLE,RB,rb_opportunity_share,RB opportunity share,7 of 9 opportunities occurred outside normal-game context.,2,16,0.125,13,107,0.12149532710280374,0.003504672897196262,9,23,0.391304347826087,7,0.266304347826087,29.0,14.5,3,"early downs, red zone, passing downs",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role,False,/players?player=00-0040162&season=2025&family=rb_opportunity_share&week=8,/teams?team=CLE&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_CLE_NE,All-play share was 26.6 points above normal-game share.
2025,8,Opportunity Lost,00-0037525,Jordan Mason,MIN,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 71.6% to 35.7%.,5,14,0.3571428571428571,58,81,0.7160493827160493,-0.35890652557319225,5,18,0.2777777777777778,0,-0.0793650793650793,6.0,1.2,2,"early downs, passing downs",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0037525&season=2025&family=rb_opportunity_share&week=8,/teams?team=MIN&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_MIN_LAC,Selected-week share was 35.9 points below the prior 4-game baseline. Aaron Jones had the largest same-family increase for MIN.
2025,8,Opportunity Lost,00-0038440,Zavier Scott,MIN,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 28.4% to 0.0%.,0,14,0.0,23,81,0.2839506172839506,-0.2839506172839506,4,18,0.2222222222222222,4,0.2222222222222222,24.0,,2,"early downs, passing downs",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0038440&season=2025&family=rb_opportunity_share&week=8,/teams?team=MIN&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_MIN_LAC,Selected-week share was 28.4 points below the prior 4-game baseline. Aaron Jones had the largest same-family increase for MIN.
2025,8,Opportunity Lost,00-0036139,Rico Dowdle,CAR,RB,rb_carry_share,RB carry share,Carry share fell from 67.0% to 41.2%.,7,17,0.4117647058823529,77,115,0.6695652173913044,-0.25780051150895145,8,27,0.2962962962962963,1,-0.11546840958605664,54.0,7.714285714285714,3,"early downs, passing downs, red zone",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0036139&season=2025&family=rb_carry_share&week=8,/teams?team=CAR&season=2025&family=rb_carry_share&week=8,/games?season=2025&week=8&game=2025_08_BUF_CAR,Selected-week share was 25.8 points below the prior 4-game baseline.
2025,8,Opportunity Gained,00-0039391,Kimani Vidal,LAC,RB,rb_opportunity_share,RB opportunity share,Handled 22 of 27 team RB opportunities.,22,27,0.8148148148148148,40,91,0.43956043956043955,0.3752543752543752,25,38,0.6578947368421053,3,-0.15692007797270946,127.0,5.7727272727272725,4,"early downs, red zone, inside five, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0039391&season=2025&family=rb_opportunity_share&week=8,/teams?team=LAC&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_MIN_LAC,Selected-week share was 37.5 points above the prior 4-game baseline.
2025,8,Opportunity Gained,00-0038797,Emanuel Wilson,GB,RB,rb_opportunity_share,RB opportunity share,Handled 15 of 31 team RB opportunities.,15,31,0.4838709677419355,24,115,0.20869565217391303,0.27517531556802244,15,31,0.4838709677419355,0,0.0,87.0,5.8,3,"early downs, red zone, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0038797&season=2025&family=rb_opportunity_share&week=8,/teams?team=GB&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_GB_PIT,Selected-week share was 27.5 points above the prior 4-game baseline.
2025,8,Opportunity Gained,00-0033293,Aaron Jones,MIN,RB,rb_opportunity_share,RB opportunity share,Handled 9 of 14 team RB opportunities.,9,14,0.6428571428571429,17,45,0.37777777777777777,0.26507936507936514,9,18,0.5,0,-0.1428571428571429,30.0,3.3333333333333335,3,"early downs, red zone, passing downs",2,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0033293&season=2025&family=rb_opportunity_share&week=8,/teams?team=MIN&season=2025&family=rb_opportunity_share&week=8,/games?season=2025&week=8&game=2025_08_MIN_LAC,Selected-week share was 26.5 points above the prior 2-game baseline.
2025,8,"Strong Opportunity, Weak Production",00-0035719,Deebo Samuel Sr.,WAS,WR,wr_target_share,WR target share,Produced 11 yards while handling 6 of 24 team targets.,6,24,0.25,25,85,0.29411764705882354,-0.04411764705882354,6,30,0.2,0,-0.04999999999999999,11.0,1.8333333333333333,2,"early downs, red zone",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0035719&season=2025&family=wr_target_share&week=8,/teams?team=WAS&season=2025&family=wr_target_share&week=8,/games?season=2025&week=8&game=2025_08_WAS_KC,"The player averaged 1.8 yards per opportunity across early downs, red zone."
2025,8,"Strong Opportunity, Weak Production",00-0040242,Jacory Croskey-Merritt,WAS,RB,rb_carry_share,RB carry share,Produced 25 yards while handling 9 of 17 team carries.,9,17,0.5294117647058824,49,100,0.49,0.03941176470588237,9,20,0.45,0,-0.07941176470588235,25.0,2.7777777777777777,2,"early downs, passing downs",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0040242&season=2025&family=rb_carry_share&week=8,/teams?team=WAS&season=2025&family=rb_carry_share&week=8,/games?season=2025&week=8&game=2025_08_WAS_KC,"The player averaged 2.8 yards per opportunity across early downs, passing downs."
