season,week,team,team_plays,team_pass_attempts,team_rush_attempts,team_tds,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_team_tds,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder
2023,7,BUF,67.0,43.0,24.0,3.0,58.75,32.5,26.25,3.5,0.5531914893617021,0.44680851063829785,3.5
2023,8,BUF,68.0,42.0,26.0,3.0,59.25,35.25,24.0,3.5,0.5949367088607594,0.4050632911392405,3.5
2023,9,BUF,56.0,40.0,16.0,2.0,62.25,39.0,23.25,2.75,0.6265060240963856,0.37349397590361444,2.75
2023,10,BUF,53.0,27.0,26.0,3.0,62.5,38.75,23.75,2.5,0.62,0.38,2.5
2023,11,BUF,71.0,33.0,38.0,3.0,61.0,38.0,23.0,2.75,0.6229508196721312,0.3770491803278688,2.75
2023,12,BUF,92.0,52.0,40.0,4.0,62.0,35.5,26.5,2.75,0.5725806451612904,0.4274193548387097,2.75
2023,14,BUF,73.0,45.0,28.0,2.0,68.0,38.0,30.0,3.0,0.5588235294117647,0.4411764705882353,3.0
2023,15,BUF,65.0,16.0,49.0,4.0,72.25,39.25,33.0,3.0,0.5432525951557093,0.45674740484429066,3.0
2023,16,BUF,52.0,22.0,30.0,3.0,75.25,36.5,38.75,3.25,0.4850498338870432,0.5149501661129569,3.25
2023,17,BUF,68.0,31.0,37.0,2.0,70.5,33.75,36.75,3.25,0.4787234042553192,0.5212765957446809,3.25
2023,18,BUF,77.0,41.0,36.0,2.0,64.5,28.5,36.0,2.75,0.4418604651162791,0.5581395348837209,2.75
2023,19,BUF,66.0,32.0,34.0,4.0,65.5,27.5,38.0,2.75,0.4198473282442748,0.5801526717557252,2.75
2023,20,BUF,78.0,39.0,39.0,3.0,65.75,31.5,34.25,2.75,0.4790874524714829,0.5209125475285171,2.75
2024,1,BUF,58.0,25.0,33.0,4.0,72.25,35.75,36.5,2.75,0.49480968858131485,0.5051903114186851,2.75
2024,2,BUF,45.0,19.0,26.0,3.0,69.75,34.25,35.5,3.25,0.4910394265232975,0.5089605734767025,3.25
2024,3,BUF,60.0,31.0,29.0,6.0,61.75,28.75,33.0,3.5,0.46558704453441296,0.5344129554655871,3.5
2024,4,BUF,57.0,34.0,23.0,1.0,60.25,28.5,31.75,4.0,0.4730290456431535,0.5269709543568465,4.0
2024,5,BUF,59.0,31.0,28.0,2.0,55.0,27.25,27.75,3.5,0.4954545454545455,0.5045454545454545,3.5
2024,6,BUF,60.0,27.0,33.0,3.0,55.25,28.75,26.5,3.0,0.5203619909502263,0.4796380090497738,3.0
2024,7,BUF,54.0,34.0,20.0,4.0,59.0,30.75,28.25,3.0,0.5211864406779662,0.4788135593220339,3.0
2024,8,BUF,69.0,35.0,34.0,4.0,57.5,31.5,26.0,2.5,0.5478260869565217,0.45217391304347826,2.5
2024,9,BUF,60.0,41.0,19.0,3.0,60.5,31.75,28.75,3.25,0.5247933884297521,0.47520661157024796,3.25
2024,10,BUF,70.0,39.0,31.0,2.0,60.75,34.25,26.5,3.5,0.5637860082304527,0.43621399176954734,3.5
2024,11,BUF,71.0,40.0,31.0,4.0,63.25,37.25,26.0,3.25,0.5889328063241107,0.41106719367588934,3.25
2024,13,BUF,56.0,18.0,38.0,5.0,67.5,38.75,28.75,3.25,0.5740740740740741,0.42592592592592593,3.25
2024,14,BUF,54.0,37.0,17.0,7.0,64.25,34.5,29.75,3.5,0.5369649805447471,0.46303501945525294,3.5
2024,15,BUF,68.0,34.0,34.0,6.0,62.75,33.5,29.25,4.5,0.5338645418326693,0.46613545816733065,4.5
2024,16,BUF,58.0,30.0,28.0,2.0,62.25,32.25,30.0,5.5,0.5180722891566265,0.4819277108433735,5.5
2024,17,BUF,62.0,28.0,34.0,5.0,59.0,29.75,29.25,5.0,0.5042372881355932,0.4957627118644068,5.0
2024,18,BUF,65.0,32.0,33.0,2.0,60.5,32.25,28.25,5.0,0.5330578512396694,0.4669421487603306,5.0
2024,19,BUF,73.0,29.0,44.0,3.0,63.25,31.0,32.25,3.75,0.4901185770750988,0.5098814229249012,3.75
