projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_carries,projected_yards_per_carry,projected_rushing_yards_raw,calibration_bucket,calibration_multiplier,projected_rushing_yards_calibrated,projected_rushing_yards,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,SF,ARI,00-0039363,I.Guerendo,RB,5.855939185140803,4.741862190122975,27.768056609678723,25-40,0.9165747317233124,25.451499037494028,25.451499037494028,True,83,4,76,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TB,DET,00-0034681,C.Edmonds,RB,6.755317555422408,4.059347550263517,27.422181769856085,25-40,0.9165747317233124,25.13447889897375,25.13447889897375,True,84,3,77,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,TB,00-0036360,C.Edwards-Helaire,RB,6.287486804188422,3.7636297842309943,23.663772604202894,15-25,1.058376776203558,25.045187361650335,25.045187361650335,True,85,2,78,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,ATL,00-0035243,M.Sanders,RB,6.122142888844508,3.848260411466848,23.559600112483604,15-25,1.058376776203558,24.934933615695382,24.934933615695382,True,86,2,79,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,SF,00-0039136,Z.Evans,RB,6.317817555422408,3.724625328041295,23.53150328487024,15-25,1.058376776203558,24.905196585864402,24.905196585864402,True,87,4,80,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,TB,00-0035184,D.Ozigbo,RB,6.505317555422408,3.613514216930184,23.507057472164384,15-25,1.058376776203558,24.8793237054211,24.8793237054211,True,88,3,81,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,WAS,DAL,00-0038611,C.Rodriguez,RB,5.762189185140803,4.689935279823971,27.024294348411996,25-40,0.9165747317233124,24.769785342407552,24.769785342407552,True,89,5,82,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,SF,00-0035228,K.Murray,QB,4.38987624449645,6.150517416389236,27.000010297568785,25-40,0.9165747317233124,24.74752719502078,24.74752719502078,True,90,6,8,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,BUF,00-0037085,T.Badie,RB,4.355939185140803,6.191862190122975,26.97137514294842,25-40,0.9165747317233124,24.721280935856765,24.721280935856765,True,91,3,83,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,BUF,00-0039732,B.Nix,QB,4.875758597437627,4.747657102181584,23.14842993364767,15-25,1.058376776203558,24.499760647347966,24.499760647347966,True,92,4,9,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,NE,00-0038389,I.Abanikanda,RB,6.671984222089076,3.9923020957180633,26.636576592444072,25-40,0.9165747317233124,24.41441304424689,24.41441304424689,True,93,2,84,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,MIA,00-0039794,B.Allen,RB,5.977262714552568,3.851644798818626,23.0222928456789,15-25,1.058376776203558,24.366260082823874,24.366260082823874,True,94,3,85,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
