projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_pass_attempts,projected_qb_attempt_share,projected_pass_attempts_raw,calibration_bucket,calibration_multiplier,projected_pass_attempts_calibrated,projected_pass_attempts,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,SEA,GB,00-0037077,S.Howell,QB,35.25,0.4037626929587418,14.232634926795647,0-20,0.8381734519382428,11.929416746769107,11.929416746769107,True,28,2,28,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,KC,PHI,00-0033873,P.Mahomes,QB,30.0,0.4693766229225946,14.081298687677837,0-20,0.8381734519382428,11.80257072882438,11.80257072882438,True,29,1,29,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,IND,TEN,00-0039164,A.Richardson,QB,34.0,0.4092602222374794,13.9148475560743,0-20,0.8381734519382428,11.663055809269217,11.663055809269217,True,30,2,30,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,HOU,00-0036971,T.Lawrence,QB,36.75,0.3734190433423679,13.72314984283202,0-20,0.8381734519382428,11.502379875232268,11.502379875232268,True,31,1,31,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,CLE,00-0028986,C.Keenum,QB,34.5,0.3952065215936319,13.634624994980301,0-20,0.8381734519382428,11.428180697926086,11.428180697926086,True,32,2,32,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,PHI,00-0026498,M.Stafford,QB,38.75,0.3494960290206706,13.542971124550986,0-20,0.8381734519382428,11.351358856964845,11.351358856964845,True,33,2,33,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,CLE,00-0031288,A.McCarron,QB,44.5,0.3016870928872886,13.425075633484344,0-20,0.8381734519382428,11.252541986249565,11.252541986249565,True,34,2,34,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,LV,00-0029604,K.Cousins,QB,30.75,0.429781688655388,13.215786926153182,0-20,0.8381734519382428,11.077121747974111,11.077121747974111,True,35,1,35,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PIT,BAL,00-0036945,J.Fields,QB,36.75,0.3528848309519635,12.968517537484658,0-20,0.8381734519382428,10.869867110915155,10.869867110915155,True,36,2,36,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,IND,00-0036972,M.Jones,QB,36.75,0.3441510798589841,12.647552184817664,0-20,0.8381734519382428,10.600842473317686,10.600842473317686,True,37,2,37,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,NYJ,00-0035993,T.Huntley,QB,38.0,0.3123129740524984,11.867893013994939,0-20,0.8381734519382428,9.947352854773895,9.947352854773895,False,38,2,38,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,MIA,00-0023459,A.Rodgers,QB,38.25,0.3098022385064667,11.849935622872351,0-20,0.8381734519382428,9.93230144626887,9.93230144626887,False,39,1,39,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0034771,M.Rudolph,QB,34.5,0.3421640009027877,11.804658031146175,0-20,0.8381734519382428,9.89435097091629,9.89435097091629,False,40,1,40,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,JAX,00-0029701,R.Tannehill,QB,34.5,0.3379104585937006,11.657910821482671,0-20,0.8381734519382428,9.771351355630326,9.771351355630326,False,41,2,41,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,WAS,DET,00-0032268,M.Mariota,QB,39.75,0.2883878116672307,11.463415513772421,0-20,0.8381734519382428,9.608330552181036,9.608330552181036,False,42,2,42,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,BUF,00-0039398,J.Milton,QB,30.5,0.3691909677728229,11.260324517071098,0-20,0.8381734519382428,9.438105070418308,9.438105070418308,False,43,1,43,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,DEN,00-0035289,G.Minshew,QB,39.0,0.2884421025848551,11.249242000809348,0-20,0.8381734519382428,9.428815999507036,9.428815999507036,False,44,1,44,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0039152,W.Levis,QB,34.5,0.3199255405035116,11.03743114737115,0-20,0.8381734519382428,9.251281765322757,9.251281765322757,False,45,3,45,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,PHI,00-0033662,C.Rush,QB,33.0,0.3311929458561447,10.929367213252776,0-20,0.8381734519382428,9.160705444632733,9.160705444632733,False,46,2,46,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,CAR,00-0035710,D.Jones,QB,33.5,0.3238651956513932,10.849484054321673,0-20,0.8381734519382428,9.093749501559717,9.093749501559717,False,47,1,47,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,KC,00-0036389,J.Hurts,QB,26.25,0.410744572650272,10.78204503206964,0-20,0.8381734519382428,9.037223903483392,9.037223903483392,False,48,1,48,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,GB,00-0034955,B.Rypien,QB,38.75,0.2755263386644155,10.6766456232461,0-20,0.8381734519382428,8.948880917157515,8.948880917157515,False,49,3,49,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,MIN,00-0038391,S.Clifford,QB,32.0,0.3283775046207053,10.50808014786257,0-20,0.8381734519382428,8.807593810777691,8.807593810777691,False,50,2,50,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,MIA,00-0037013,Z.Wilson,QB,38.25,0.272943710515344,10.440096927211908,0-20,0.8381734519382428,8.750612080051045,8.750612080051045,False,51,2,51,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,NE,00-0032156,T.Siemian,QB,38.25,0.272755267348008,10.432888976061305,0-20,0.8381734519382428,8.744570566753742,8.744570566753742,False,52,3,52,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,CAR,00-0033936,C.Beathard,QB,36.75,0.2824298767986479,10.37929797235031,0-20,0.8381734519382428,8.699652010180463,8.699652010180463,False,53,3,53,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,LAC,00-0038579,A.O'Connell,QB,39.0,0.2657999945506471,10.366199787475237,0-20,0.8381734519382428,8.688673459349598,8.688673459349598,False,54,2,54,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,KC,LAC,00-0027948,B.Gabbert,QB,30.0,0.3423287782858239,10.269863348574718,0-20,0.8381734519382428,8.607926813808913,8.607926813808913,False,55,2,55,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,BUF,00-0039851,D.Maye,QB,30.5,0.3365995733020789,10.266286985713407,0-20,0.8381734519382428,8.604929201404063,8.604929201404063,False,56,2,56,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,NYG,00-0038400,T.McKee,QB,26.25,0.3743669051974039,9.827131261431852,0-20,0.8381734519382428,8.236840532044553,8.236840532044553,False,57,2,57,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,CHI,00-0026625,B.Hoyer,QB,39.0,0.2485626888444511,9.693944864933593,0-20,0.8381734519382428,8.125207230340392,8.125207230340392,False,58,3,58,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,SEA,00-0037327,S.Thompson,QB,38.0,0.2379684411586857,9.042800764030057,0-20,0.8381734519382428,7.579435531576852,7.579435531576852,False,59,3,59,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,CAR,00-0039917,M.Penix,QB,30.75,0.2925111873940145,8.994719012365946,0-20,0.8381734519382428,7.539134683809307,7.539134683809307,False,60,2,60,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,LAC,00-0033119,J.Brissett,QB,30.5,0.2942094589250982,8.973388497215495,0-20,0.8381734519382428,7.521256012294033,7.521256012294033,False,61,3,61,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,NO,00-0034438,L.Woodside,QB,30.75,0.2777071239505974,8.53949406148087,0-20,0.8381734519382428,7.157577215317545,7.157577215317545,False,62,3,62,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
