projection_mode,season,week,team,player_id,player_name,position,projected_receptions_calibrated,projected_yards_per_reception,projected_receiving_yards_raw,calibration_bucket,calibration_multiplier,projected_receiving_yards_calibrated,projected_receiving_yards,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,WAS,00-0036345,K.Osborn,WR,1.9025334705183172,10.248151250421378,19.497450764860815,15-25,0.8422095618415284,16.4209394657002,16.4209394657002,20.698104290015,True,328,13,257,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,00-0038938,J.Hyatt,WR,1.812059130827584,10.706908058129798,19.401550509665537,15-25,0.8422095618415284,16.340171353791693,16.340171353791693,19.21656583610244,True,329,9,258,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,00-0035645,G.Olszewski,WR,1.9229804062137583,10.08675758908931,19.39663720604667,15-25,0.8422095618415284,16.336033322503653,16.336033322503653,6.142478734191922,True,330,10,259,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,00-0037277,T.Quitoriano,TE,1.6954180024259233,11.42336578581363,19.367380001564783,15-25,0.8422095618415284,16.311392625136254,16.311392625136254,13.528762863583864,True,331,9,68,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,00-0036244,C.Parkinson,TE,2.0079124983845444,9.64480004874112,19.36591456228716,15-25,0.8422095618415284,16.31015841816434,16.31015841816434,18.87594846476742,True,332,10,69,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,00-0038115,D.Bellinger,TE,2.0340463447989765,9.520547622868555,19.36523509278037,15-25,0.8422095618415284,16.309586162448745,16.309586162448745,17.630627785525448,True,333,11,70,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,00-0039363,I.Guerendo,RB,2.115139549383265,9.151097804391217,19.355848886342226,15-25,0.8422095618415284,16.30168100963712,16.30168100963712,13.871154213582363,True,334,13,5,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,00-0032141,G.Swaim,TE,2.259432164634144,8.540336167657099,19.29631023399275,15-25,0.8422095618415284,16.251536987329235,16.251536987329235,10.382151045605204,True,335,11,71,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,00-0033757,R.Tonyan,TE,1.8980402493324706,10.159729422177266,19.283575365619775,15-25,0.8422095618415284,16.24081155941672,16.24081155941672,21.06449938996152,True,336,8,72,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,00-0039631,C.Grandy,TE,2.6598837046896016,7.193972531293463,19.135130307972087,15-25,0.8422095618415284,16.115789712457723,16.115789712457723,17.388060279511905,True,337,15,73,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,00-0033246,J.Mundt,TE,2.1203710407097196,8.996829674150606,19.076617099266805,15-25,0.8422095618415284,16.066509328592105,16.066509328592105,17.708581047034986,True,338,11,74,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,00-0037039,D.Allen,WR,1.5068130048689896,12.608446986361637,18.998571890250933,15-25,0.8422095618415284,16.000778907303015,16.000778907303015,4.8131363215682965,True,339,8,260,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BUF,00-0038933,D.Kincaid,TE,1.854277579808942,10.203598485491938,18.920303905020177,15-25,0.8422095618415284,15.934860861755602,15.934860861755602,22.27382862596788,True,340,10,75,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,00-0037086,G.Calcaterra,TE,1.66446627819312,11.341696669224495,18.877871643419404,15-25,0.8422095618415284,15.89912400530487,15.89912400530487,16.271728497870733,True,341,9,76,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,IND,00-0033217,M.Alie-Cox,TE,1.634795688935593,11.530472531293464,18.84996678554883,15-25,0.8422095618415284,15.875622267184443,15.875622267184443,21.820853531373352,True,342,13,77,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,00-0035259,T.Wesco,TE,1.52806268731422,12.323365785813628,18.83087543942649,15-25,0.8422095618415284,15.859543352931782,15.859543352931782,9.597598295830492,True,343,14,78,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,00-0033906,A.Kamara,RB,2.4713051071707297,7.569002301854539,18.705314044760133,15-25,0.8422095618415284,15.753794345745618,15.753794345745618,18.57172400944888,True,344,18,6,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,00-0037132,B.Covey,WR,2.331340792545273,7.98048891275904,18.605239346770425,15-25,0.8422095618415284,15.669510478200284,15.669510478200284,18.4380773751863,True,345,10,261,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DEN,00-0038783,N.Adkins,TE,2.119975753614013,8.772623324944256,18.597748744470568,15-25,0.8422095618415284,15.663201821319392,15.663201821319392,17.151329718860715,True,346,9,79,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,00-0039356,J.Sanders,TE,1.7953982353926392,10.2903361676571,18.475251397008613,15-25,0.8422095618415284,15.56003338398671,15.56003338398671,18.851165005853662,True,347,9,80,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,00-0036251,Z.Moss,RB,2.379549370493661,7.739126789898464,18.415634281073515,15-25,0.8422095618415284,15.509823278896755,15.509823278896755,16.528464837552058,True,348,16,7,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,00-0032394,N.Vannett,TE,2.1189222837278434,8.660835276391502,18.35163686284215,15-25,0.8422095618415284,15.455924041329126,15.455924041329126,17.555020311856325,True,349,15,81,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,00-0031484,C.Manhertz,TE,1.8532316335589667,9.893972531293462,18.335822876556527,15-25,0.8422095618415284,15.442605350868545,15.442605350868545,13.190705678003594,True,350,12,82,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
