projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_rush_attempts,projected_player_rush_attempt_share,projected_carries_raw,calibration_bucket,calibration_multiplier,projected_carries_calibrated,projected_carries,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,LA,SF,00-0034838,R.Freeman,RB,21.5,0.1254736125320305,2.6976826694386555,0-3,0.986118670675152,2.6602352478902427,2.6602352478902427,True,127,3,116,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,CLE,00-0034433,N.Bawden,RB,21.75,0.1231932605219024,2.679453416351377,0-3,0.986118670675152,2.6422590410684146,2.6422590410684146,True,128,4,117,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ARI,SF,00-0035860,T.Jones,RB,27.75,0.0950453388595161,2.637508153351572,0-3,0.986118670675152,2.6008960340779272,2.6008960340779272,True,129,5,118,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,KC,00-0036567,E.Mitchell,RB,20.75,0.1265234639459655,2.625361876878784,0-3,0.986118670675152,2.588918364068929,2.588918364068929,True,130,3,119,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,NO,00-0034438,L.Woodside,QB,34.0,0.077059523733318,2.620023806932812,0-3,0.986118670675152,2.5836543936298355,2.5836543936298355,True,131,4,12,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYG,PHI,00-0033308,M.Breida,RB,22.0,0.1185441889913863,2.6079721578104986,0-3,0.986118670675152,2.5717700374178967,2.5717700374178967,True,132,4,120,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0039152,W.Levis,QB,27.75,0.0917255413009139,2.5453837711003606,0-3,0.986118670675152,2.510050460715593,2.510050460715593,True,133,4,13,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,NYJ,00-0035993,T.Huntley,QB,24.75,0.1021159016179187,2.5273685650434876,0-3,0.986118670675152,2.4922853296668506,2.4922853296668506,True,134,5,14,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,PHI,00-0039344,J.Brooks,RB,23.75,0.1052911116395241,2.5006639014386973,0-3,0.986118670675152,2.4659513622920675,2.4659513622920675,True,135,3,121,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,HOU,00-0036971,T.Lawrence,QB,29.25,0.0851585861285004,2.4908886442586367,0-3,0.986118670675152,2.4563117986761585,2.4563117986761585,True,136,5,15,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
