projection_mode,history_start_season,history_end_season,max_training_season,max_training_week,target_season,target_week,leakage_check,leakage_status,season,week,team,player_id,player_name,position,projected_team_pass_attempts,projected_target_share,projected_catch_rate,projected_receptions_raw,calibration_bucket,calibration_multiplier,projected_receptions_calibrated,projected_receptions,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,current_team_verified,team_verify_flag,team_source,team_context_note,route_proxy_status,confidence_score,confidence_bucket,quality_flags
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CAR,00-0039356,J.Sanders,TE,32.75,0.0715337902837902,0.7663695709003054,1.7953982353926392,1-2,0.7798033969713766,1.4000576428755953,1.4000576428755953,18.851165005853662,True,382,10,98,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,BUF,00-0035689,D.Knox,TE,30.25,0.077968509984639,0.7609819740010806,1.794812076800515,1-2,0.7798033969713766,1.3996005544142927,1.3996005544142927,20.622315419755594,True,383,8,99,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,ATL,00-0039394,Cas.Washington,WR,30.75,0.0911159003831417,0.6401459367679092,1.7935698072104453,1-2,0.7798033969713766,1.3986318283680022,1.3986318283680022,14.068584507444358,True,384,8,256,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,WAS,00-0036628,J.Bates,TE,39.75,0.0665619331845602,0.6752848256567983,1.7866934719751288,1-2,0.7798033969713766,1.3932696387927885,1.3932696387927885,18.98986292102107,True,385,15,100,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,SEA,00-0033439,P.Brown,TE,35.25,0.0663500771259391,0.7609819740010806,1.779815246491343,1-2,0.7798033969713766,1.3879059751953973,1.3879059751953973,16.677206744826098,True,386,11,101,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CHI,00-0036275,D.Swift,RB,35.75,0.0587985757129605,0.8464947945139011,1.7793736055042289,1-2,0.7798033969713766,1.3875615820534037,1.3875615820534037,13.396562626556245,True,387,11,30,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,PHI,00-0034844,S.Barkley,RB,26.25,0.0781618319187833,0.8670575076628212,1.7789835834188406,1-2,0.7798033969713766,1.3872574415063241,1.3872574415063241,13.18429630877616,True,388,10,31,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CLE,00-0039379,J.Thrash,WR,40.5,0.0906500151316238,0.4840745081964807,1.777195140460195,1-2,0.7798033969713766,1.3858628076118829,1.3858628076118829,17.966188637248518,True,389,14,257,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,NE,00-0026293,M.Slater,WR,30.5,0.0833333333333333,0.6888288022258241,1.7507732056573022,1-2,0.7798033969713766,1.3652588930980307,1.3652588930980307,5.592406011726974,True,390,10,258,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,NE,00-0038911,M.Cunningham,WR,30.5,0.0833333333333333,0.6888288022258241,1.7507732056573022,1-2,0.7798033969713766,1.3652588930980307,1.3652588930980307,5.592406011726974,True,391,11,259,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
