season,week,player_id,player_name,team,opponent,position,l3_targets,l3_receptions,l3_receiving_yards,l3_carries,l3_rushing_yards,l3_pass_attempts,l3_completions,l3_passing_yards,l5_targets,l5_receptions,l5_receiving_yards,l5_carries,l5_rushing_yards,l5_pass_attempts,l5_completions,l5_passing_yards,l8_targets,l8_receptions,l8_receiving_yards,l8_carries,l8_rushing_yards,l8_pass_attempts,l8_completions,l8_passing_yards,recent_receiving_sample_games,recent_rushing_sample_games,recent_passing_sample_games,recent_receiving_trend,recent_rushing_trend,recent_passing_trend,recent_form_reliability,recent_form_notes
2025,1,,R.Pearsall,SF,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,D.Brown,WAS,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,D.Swift,CHI,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,K.Allen,CHI,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Conner,ARI,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Cowing,SF,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,T.McBride,ARI,,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,B.Johnson,PIT,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,A.Pierce,IND,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,R.Shaheed,NO,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,A.Thielen,CAR,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Cook,BUF,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,A.Kamara,NO,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,G.Wilson,NYJ,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
