profile_name,market_family,challenger_signal_tier,row_count,average_challenger_score,average_actual_primary_value,baseline_average_actual,lift_vs_baseline
current_v1,rushing,STRONG_SIGNAL,828,78.7596497584541,53.88526570048309,28.07596539354294,25.80930030694015
current_v1,rushing,WATCH,1216,49.43939967105263,18.769736842105264,28.07596539354294,-9.306228551437677
data_quality_strict,passing,ELITE_SIGNAL,93,88.5563440860215,257.39784946236557,192.1782390837509,65.21961037861468
data_quality_strict,passing,GOOD_SIGNAL,429,65.35025641025642,202.65268065268066,192.1782390837509,10.474441568929763
data_quality_strict,passing,REVIEW,203,34.18689655172414,64.32512315270937,192.1782390837509,-127.85311593104153
data_quality_strict,passing,STRONG_SIGNAL,351,77.98678062678063,243.2136752136752,192.1782390837509,51.03543612992431
data_quality_strict,passing,WATCH,321,49.40289719626169,184.33333333333334,192.1782390837509,-7.844905750417553
data_quality_strict,receiving,ELITE_SIGNAL,839,88.10854588796187,68.84028605482717,29.650579790171175,39.189706264655996
data_quality_strict,receiving,GOOD_SIGNAL,2412,65.19616915422884,27.240878938640133,29.650579790171175,-2.409700851531042
data_quality_strict,receiving,REVIEW,1382,34.42113603473227,11.080318379160637,29.650579790171175,-18.570261411010538
data_quality_strict,receiving,STRONG_SIGNAL,1852,78.50343412526998,46.20140388768898,29.650579790171175,16.550824097517808
data_quality_strict,receiving,WATCH,2570,49.222198443579764,17.177431906614785,29.650579790171175,-12.47314788355639
data_quality_strict,rushing,ELITE_SIGNAL,480,88.05864583333333,72.39583333333333,28.07596539354294,44.319867939790385
data_quality_strict,rushing,GOOD_SIGNAL,1255,65.33019123505976,23.731474103585658,28.07596539354294,-4.344491289957283
data_quality_strict,rushing,REVIEW,806,34.107456575682384,6.92803970223325,28.07596539354294,-21.14792569130969
data_quality_strict,rushing,STRONG_SIGNAL,942,78.63352441613588,47.5552016985138,28.07596539354294,19.479236304970858
data_quality_strict,rushing,WATCH,1256,49.26640127388536,14.44108280254777,28.07596539354294,-13.63488259099517
game_script_heavy,passing,ELITE_SIGNAL,13,86.59923076923077,273.15384615384613,192.1782390837509,80.97560707009524
game_script_heavy,passing,GOOD_SIGNAL,411,64.93445255474452,229.49391727493918,192.1782390837509,37.31567819118828
game_script_heavy,passing,REVIEW,330,31.037151515151514,106.83939393939394,192.1782390837509,-85.33884514435695
game_script_heavy,passing,STRONG_SIGNAL,200,76.98305,258.57,192.1782390837509,66.3917609162491
game_script_heavy,passing,WATCH,443,49.67555304740406,188.77878103837472,192.1782390837509,-3.3994580453761785
game_script_heavy,receiving,ELITE_SIGNAL,52,86.19634615384615,87.5,29.650579790171175,57.84942020982882
game_script_heavy,receiving,GOOD_SIGNAL,2111,64.76586451918521,37.10279488394126,29.650579790171175,7.452215093770082
game_script_heavy,receiving,REVIEW,2323,31.42617735686612,12.30779164873009,29.650579790171175,-17.342788141441083
game_script_heavy,receiving,STRONG_SIGNAL,1493,77.36691895512391,61.30341594105827,29.650579790171175,31.652836150887094
game_script_heavy,receiving,WATCH,3076,49.20032184655397,21.29226267880364,29.650579790171175,-8.358317111367533
game_script_heavy,rushing,ELITE_SIGNAL,19,85.70263157894736,92.78947368421052,28.07596539354294,64.71350829066758
game_script_heavy,rushing,GOOD_SIGNAL,1083,64.74027700831024,35.31763619575254,28.07596539354294,7.241670802209601
game_script_heavy,rushing,REVIEW,1244,30.686495176848876,8.118167202572348,28.07596539354294,-19.957798190970593
game_script_heavy,rushing,STRONG_SIGNAL,830,77.51215662650603,64.60722891566265,28.07596539354294,36.5312635221197
game_script_heavy,rushing,WATCH,1563,49.20853486884197,18.756877799104288,28.07596539354294,-9.319087594438653
matchup_heavy,passing,ELITE_SIGNAL,42,88.31119047619048,284.8333333333333,192.1782390837509,92.65509424958242
matchup_heavy,passing,GOOD_SIGNAL,403,64.97923076923077,225.15384615384616,192.1782390837509,32.975607070095265
matchup_heavy,passing,REVIEW,313,29.621150159744403,104.15654952076677,192.1782390837509,-88.02168956298412
matchup_heavy,passing,STRONG_SIGNAL,207,77.05647342995168,251.93236714975845,192.1782390837509,59.75412806600755
matchup_heavy,passing,WATCH,432,49.875162037037036,187.55092592592592,192.1782390837509,-4.627313157824972
matchup_heavy,receiving,ELITE_SIGNAL,378,87.75407407407408,72.73015873015873,29.650579790171175,43.079578939987556
matchup_heavy,receiving,GOOD_SIGNAL,1855,64.84216711590297,35.0733153638814,29.650579790171175,5.422735573710224
matchup_heavy,receiving,REVIEW,2467,30.104122415889744,12.68139440616133,29.650579790171175,-16.969185384009847
matchup_heavy,receiving,STRONG_SIGNAL,1596,78.40385338345865,53.94674185463659,29.650579790171175,24.296162064465417
matchup_heavy,receiving,WATCH,2759,49.34584269662921,21.22109459949257,29.650579790171175,-8.429485190678605
matchup_heavy,rushing,ELITE_SIGNAL,198,87.78969696969698,80.35858585858585,28.07596539354294,52.28262046504291
matchup_heavy,rushing,GOOD_SIGNAL,977,64.72629477993858,30.541453428863868,28.07596539354294,2.465488035320927
matchup_heavy,rushing,REVIEW,1316,28.140531914893618,8.356382978723405,28.07596539354294,-19.719582414819534
matchup_heavy,rushing,STRONG_SIGNAL,917,78.37155943293348,55.97164667393675,28.07596539354294,27.895681280393813
matchup_heavy,rushing,WATCH,1331,49.642644628099184,18.767092411720512,28.07596539354294,-9.308872981822429
projection_heavy,passing,ELITE_SIGNAL,92,88.80684782608697,257.14130434782606,192.1782390837509,64.96306526407517
projection_heavy,passing,GOOD_SIGNAL,325,64.5376,213.71384615384616,192.1782390837509,21.535607070095267
projection_heavy,passing,REVIEW,374,27.237540106951872,114.33957219251337,192.1782390837509,-77.83866689123752
projection_heavy,passing,STRONG_SIGNAL,258,77.86717054263568,251.76356589147287,192.1782390837509,59.58532680772197
projection_heavy,passing,WATCH,348,49.65873563218391,194.3706896551724,192.1782390837509,2.1924505714215172
projection_heavy,receiving,ELITE_SIGNAL,736,88.51017663043478,70.33016304347827,29.650579790171175,40.67958325330709
projection_heavy,receiving,GOOD_SIGNAL,1832,64.52991812227074,32.573689956331876,29.650579790171175,2.9231101661607006
projection_heavy,receiving,REVIEW,2731,27.594518491395096,13.129622848773343,29.650579790171175,-16.520956941397834
projection_heavy,receiving,STRONG_SIGNAL,1473,78.5802172437203,50.15682281059063,29.650579790171175,20.506243020419458
projection_heavy,receiving,WATCH,2283,49.24605343845816,20.722733245729305,29.650579790171175,-8.92784654444187
projection_heavy,rushing,ELITE_SIGNAL,427,88.38894613583139,73.44028103044496,28.07596539354294,45.36431563690202
projection_heavy,rushing,GOOD_SIGNAL,951,64.51525762355415,28.53838065194532,28.07596539354294,0.4624152584023804
projection_heavy,rushing,REVIEW,1458,27.018696844993137,8.88957475994513,28.07596539354294,-19.18639063359781
projection_heavy,rushing,STRONG_SIGNAL,756,78.63772486772486,52.66005291005291,28.07596539354294,24.58408751650997
projection_heavy,rushing,WATCH,1147,49.51098517872711,18.989537925021796,28.07596539354294,-9.086427468521144
recent_form_heavy,passing,ELITE_SIGNAL,88,88.92375,257.78409090909093,192.1782390837509,65.60585182534004
recent_form_heavy,passing,GOOD_SIGNAL,320,64.854375,213.875,192.1782390837509,21.696760916249104
recent_form_heavy,passing,REVIEW,326,27.286472392638036,104.6441717791411,192.1782390837509,-87.53406730460979
recent_form_heavy,passing,STRONG_SIGNAL,319,78.26260188087774,249.2884012539185,192.1782390837509,57.1101621701676
recent_form_heavy,passing,WATCH,344,50.049767441860475,185.20639534883722,192.1782390837509,-6.971843734913676
