season,week,game_id,player_id,player_name,team,opponent,position,market_family,pregame_projection_proxy,projection_score,usage_foundation_score,recent_form_score,opponent_fit_score,game_script_score,role_availability_score,volatility_score,data_quality_score,overall_signal_score,signal_tier,green_signal_count,red_flag_count,missing_signal_count,actual_receptions,actual_receiving_yards,actual_carries,actual_rushing_yards,actual_pass_attempts,actual_completions,actual_passing_yards,actual_primary_value,actual_primary_metric,backtest_usage_status,data_limitations,feature_source_max_game_order,target_game_order
2023,18,2023_18_BUF_MIA,00-0036196,G.Davis,BUF,MIA,WR,receiving,38.68541666666667,86.45,57.17,87.25,75.3,56.5,60,70.0,95,75.71,STRONG_SIGNAL,3,0,0,0,0,0,0,0,0,0,0,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_HOU_IND,00-0036223,J.Taylor,IND,HOU,RB,receiving,6.664583333333334,24.3,10.56,43.63,16.14,57.5,60,70.0,95,32.28,REVIEW,0,1,0,2,8,30,188,0,0,0,8,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_MIN_DET,00-0036233,D.Peoples-Jones,DET,MIN,WR,receiving,6.36875,23.11,15.74,31.47,82.67,55.5,60,70.0,95,37.52,REVIEW,1,1,0,2,25,0,0,0,0,0,25,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_SEA_ARI,00-0036244,C.Parkinson,SEA,ARI,TE,receiving,13.99375,45.02,47.01,51.99,30.88,57.5,60,70.0,95,49.55,WATCH,0,0,0,3,8,0,0,0,0,0,8,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_HOU_IND,00-0036252,M.Pittman,IND,HOU,WR,receiving,61.06041666666666,96.81,90.84,98.41,81.27,57.5,60,70.0,95,88.44,ELITE_SIGNAL,4,0,0,5,44,0,0,0,0,0,44,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_LA_SF,00-0036261,B.Aiyuk,SF,LA,WR,receiving,67.24791666666667,98.41,87.85,98.8,84.46,38.5,60,70.0,95,86.88,ELITE_SIGNAL,4,0,0,3,25,0,0,0,0,0,25,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_KC_LAC,00-0036269,L.Perine,KC,LAC,RB,receiving,0.25,4.78,15.74,15.74,23.31,30.5,60,39.375,95,20.31,REVIEW,0,1,0,3,33,21,76,0,0,0,33,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PHI_NYG,00-0036271,Q.Watkins,PHI,NYG,WR,receiving,9.458333333333332,31.08,47.01,47.01,87.65,45.5,60,52.5,95,48.4,REVIEW,1,1,0,8,93,0,0,0,0,0,93,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_CHI_GB,00-0036290,C.Kmet,CHI,GB,TE,receiving,44.47083333333333,90.84,83.86,94.42,38.45,52.5,60,70.0,95,79.57,STRONG_SIGNAL,3,0,0,3,41,0,0,0,0,0,41,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_MIN_DET,00-0036322,J.Jefferson,MIN,DET,WR,receiving,65.99166666666667,98.01,98.21,99.2,89.44,55.5,60,70.0,95,91.07,ELITE_SIGNAL,4,0,0,12,192,1,-12,0,0,0,192,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_BUF_MIA,00-0036326,C.Claypool,MIA,BUF,WR,receiving,2.5041666666666664,11.95,15.74,15.74,58.57,56.5,60,70.0,95,28.95,REVIEW,0,1,0,1,3,0,0,0,0,0,3,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DAL_WAS,00-0036328,A.Gibson,WAS,DAL,RB,receiving,15.141666666666666,48.61,62.15,62.75,2.39,49.0,60,70.0,95,51.74,WATCH,1,0,0,3,28,2,8,0,0,0,28,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_MIN_DET,00-0036345,K.Osborn,MIN,DET,WR,receiving,28.35625,73.71,79.88,79.88,89.44,55.5,60,70.0,95,76.0,STRONG_SIGNAL,3,0,0,2,9,0,0,0,0,0,9,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
