Player Name,Player ID,Position,Current Team,Roster Status,Depth Chart Role,Source,Updated At,Current Team Verified,Team Verify Flag,Validation Status,Notes
A.Iosivas,00-0038619,WR,CIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
C.Kupp,00-0033908,WR,LA,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
M.Mims,00-0038976,WR,DEN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
R.Moore,00-0036936,WR,ARI,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
S.LaPorta,00-0039065,TE,DET,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Coker,00-0039491,WR,CAR,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
P.Washington,00-0038606,WR,JAX,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
G.Pickens,00-0037247,WR,PIT,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
O.Zaccheaus,00-0035208,WR,WAS,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
K.Lassiter,00-0037420,WR,CIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
K.Doss,00-0035120,WR,LAC,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.Metchie,00-0037614,WR,HOU,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
J.McMillan,00-0039855,WR,TB,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
B.Tremayne,00-0038840,WR,WAS,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
T.Jackson,00-0035934,WR,MIN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
E.Moore,00-0036980,WR,CLE,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
C.Okonkwo,00-0037809,TE,TEN,,,manual/current roster required,2026-06-25T00:49:08+00:00,False,TEAM_VERIFY,NEEDS DATA,Current roster source is not confirmed. Verify current team before live use.
