line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
2.5,10,C.Hubbard,CAR,ARI,RB,8.479818811072214,0.9274070233588669,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,11,J.Cook,BUF,KC,RB,8.302932565854961,0.921268625665817,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,12,T.Etienne,JAX,IND,RB,8.221121594455049,0.9182999079444307,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,13,A.Jones,MIN,LA,RB,8.171539962267742,0.9164600914474906,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,14,K.Walker,SEA,MIN,RB,7.669896167484988,0.8960646654929985,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,15,T.Allgeier,ATL,CAR,RB,7.616988634553649,0.8937193363272473,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,16,R.White,TB,WAS,RB,7.396247139956839,0.8835218990758463,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,17,J.Jacobs,GB,PHI,RB,7.395037398519733,0.8834641645496002,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,18,T.Bigsby,JAX,IND,RB,7.309434882654873,0.8793271660610147,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,19,C.Brown,CIN,DEN,RB,7.113046577439101,0.8694484343746409,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,20,J.Conner,ARI,LA,RB,6.2613690922643,0.8202478002889375,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,21,N.Harris,PIT,BAL,RB,6.209308017185189,0.8169034488584657,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,22,J.Dobbins,LAC,HOU,RB,6.190958558024488,0.8157155052065121,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,23,J.Gibbs,DET,WAS,RB,6.177847928971912,0.8148637926291912,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,24,D.Montgomery,DET,WAS,RB,5.825244157887851,0.7910486323031704,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,25,B.Robinson,WAS,PHI,RB,5.796725935410487,0.7890466748680479,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,1,J.Taylor,IND,JAX,RB,14.714235572200463,0.9968515646361765,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,2,D.Henry,BAL,BUF,RB,14.70748572420501,0.9968358162383959,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,3,B.Robinson,ATL,CAR,RB,14.253459230476937,0.9955991007685046,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,4,S.Barkley,PHI,KC,RB,11.597620949372056,0.9757332613404399,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,5,J.Mixon,HOU,KC,RB,9.958632501037004,0.9421859788860933,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,6,T.Pollard,TEN,HOU,RB,9.934639469149408,0.9415065781962133,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
3.5,7,R.Dowdle,DAL,WAS,RB,9.510990683979092,0.9284497102659632,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
